shift_date,section,product,planned_units,cycle_time_seconds,shift_type,shift_start,shift_end
2021-12-30,Vorfertigung,Alle,590,10,Nacht,22:00,06:00
2021-12-31,Montage B,B,370,100,Früh,06:00,14:00
2021-12-31,Montage C,C,162,110,Nacht,22:00,06:00
2021-12-31,Montage A,A,58,120,Nacht,22:00,06:00
2021-12-31,Vorfertigung,Alle,470,10,Früh,06:00,14:00
2022-01-01,Montage B,B,64,100,Früh,06:00,14:00
2022-01-01,Montage A,A,342,120,Nacht,22:00,06:00
2022-01-01,Vorfertigung,Alle,630,10,Spät,14:00,22:00
2022-01-01,Montage C,C,64,110,Nacht,22:00,06:00
2022-01-02,Montage B,B,424,100,Nacht,22:00,06:00
2022-01-02,Vorfertigung,Alle,810,10,Nacht,22:00,06:00
2022-01-02,Montage C,C,194,110,Nacht,22:00,06:00
2022-01-02,Montage A,A,12,120,Früh,06:00,14:00
2022-01-03,Vorfertigung,Alle,460,10,Nacht,22:00,06:00
2022-01-03,Montage B,B,4,100,Spät,14:00,22:00
2022-01-03,Montage A,A,209,120,Früh,06:00,14:00
2022-01-03,Montage C,C,597,110,Spät,14:00,22:00
2022-01-04,Montage A,A,370,120,Spät,14:00,22:00
2022-01-04,Vorfertigung,Alle,470,10,Spät,14:00,22:00
2022-01-04,Montage C,C,41,110,Spät,14:00,22:00
2022-01-04,Montage B,B,49,100,Früh,06:00,14:00
2022-01-05,Montage A,A,73,120,Früh,06:00,14:00
2022-01-05,Montage C,C,267,110,Spät,14:00,22:00
2022-01-05,Vorfertigung,Alle,830,10,Spät,14:00,22:00
2022-01-05,Montage B,B,130,100,Früh,06:00,14:00
2022-01-06,Vorfertigung,Alle,670,10,Früh,06:00,14:00
2022-01-06,Montage A,A,253,120,Früh,06:00,14:00
2022-01-06,Montage C,C,423,110,Nacht,22:00,06:00
2022-01-06,Montage B,B,154,100,Nacht,22:00,06:00
2022-01-07,Montage B,B,243,100,Nacht,22:00,06:00
2022-01-07,Montage A,A,106,120,Spät,14:00,22:00
2022-01-07,Montage C,C,321,110,Nacht,22:00,06:00
2022-01-07,Vorfertigung,Alle,430,10,Spät,14:00,22:00
